Upload an Image,Prediction,timestamp
.gradio\flagged\Upload an Image\ebcdaf8dd07695dbf0e1\pexels-kindelmedia-9028874.jpg,"{""label"": ""\ud83d\udfe2 Machine-Made"", ""confidences"": null}",2026-01-09 15:26:47.065739
.gradio\flagged\Upload an Image\9bb585a76045aa17ea1b\pexels-kindelmedia-9028874.jpg,"{""label"": ""\ud83d\udfe2 Machine-Made"", ""confidences"": null}",2026-01-09 15:26:49.693354
